Id,Period,Data_value,Series_title_2
1,2001.03,2462.5,RTS total industries
2,2002.03,17177.2,RTS total industries
3,2003.03,22530.5,RTS total industries
4,2004.03,28005.1,RTS total industries
5,2005.03,30629.6,RTS total industries
6,2006.03,33317.4,RTS total industries
7,2007.03,36422,RTS total industries
8,2008.03,39198,RTS total industries
9,2009.03,40629.4,RTS total industries
10,2010.03,41815.4,RTS total industries
11,2011.03,43848.6,RTS total industries
12,2012.03,47004.9,RTS total industries
13,2013.03,49188.8,RTS total industries
14,2014.03,52108.2,RTS total industries
15,2015.03,54410.5,RTS total industries
16,2016.03,57389.5,RTS total industries
17,2017.03,60616.6,RTS total industries
18,2018.03,64238.6,RTS total industries
19,2019.03,66777.7,RTS total industries
20,2020.03,68844.3,RTS total industries
21,2021.03,68203.1,RTS total industries
22,2022.03,71690.6,RTS total industries
23,2001.03,,RTS core industries
24,2002.03,,RTS core industries
25,2003.03,,RTS core industries
26,2004.03,24641.7,RTS core industries
27,2005.03,26469.8,RTS core industries
28,2006.03,28502,RTS core industries
29,2007.03,31000.7,RTS core industries
30,2008.03,33293.2,RTS core industries
31,2009.03,34258.5,RTS core industries
32,2010.03,35712.7,RTS core industries
33,2011.03,37132.3,RTS core industries
34,2012.03,39561.9,RTS core industries
35,2013.03,40945.5,RTS core industries
36,2014.03,42895.6,RTS core industries
37,2015.03,45331.2,RTS core industries
38,2016.03,48446,RTS core industries
39,2017.03,51519.4,RTS core industries
40,2018.03,54817.6,RTS core industries
41,2019.03,57151.8,RTS core industries
42,2020.03,59701.6,RTS core industries
43,2021.03,60264.6,RTS core industries
44,2022.03,62989.4,RTS core industries
45,2001.03,,Total
46,2002.03,,Total
47,2003.03,,Total
48,2004.03,36878.7,Total
49,2005.03,40756.2,Total
50,2006.03,44303.8,Total
51,2007.03,48616.7,Total
52,2008.03,52669.1,Total
53,2009.03,54475.5,Total
54,2010.03,55977.4,Total
55,2011.03,58624.9,Total
56,2012.03,62614.7,Total
57,2013.03,65296.1,Total
58,2014.03,69247.1,Total
59,2015.03,72320.3,Total
60,2016.03,76488.6,Total
61,2017.03,81334.1,Total
62,2018.03,87684.4,Total
63,2019.03,91445.8,Total
64,2020.03,93968.7,Total
65,2021.03,89916,Total
66,2022.03,94824.9,Total
67,2001.03,,Credit
68,2002.03,,Credit
69,2003.03,,Credit
70,2004.03,16307.6,Credit
71,2005.03,18481.2,Credit
72,2006.03,20210.6,Credit
73,2007.03,22272.1,Credit
74,2008.03,23982.4,Credit
75,2009.03,24381.1,Credit
76,2010.03,24135.6,Credit
77,2011.03,24851.6,Credit
78,2012.03,26411.2,Credit
79,2013.03,27504.1,Credit
80,2014.03,29840,Credit
81,2015.03,31607.8,Credit
82,2016.03,34681.6,Credit
83,2017.03,39191.6,Credit
84,2018.03,46065.7,Credit
85,2019.03,50302.3,Credit
86,2020.03,52670.7,Credit
87,2021.03,55518.7,Credit
88,2022.03,61696.6,Credit
89,2001.03,,Debit
90,2002.03,,Debit
91,2003.03,,Debit
92,2004.03,20571.1,Debit
93,2005.03,22274.9,Debit
94,2006.03,24093.1,Debit
95,2007.03,26344.6,Debit
96,2008.03,28686.8,Debit
97,2009.03,30094.4,Debit
98,2010.03,31841.8,Debit
99,2011.03,33773.3,Debit
100,2012.03,36203.5,Debit
101,2013.03,37792,Debit
102,2014.03,39407.1,Debit
103,2015.03,40712.5,Debit
104,2016.03,41807,Debit
105,2017.03,42142.5,Debit
